home_team,away_team,target,rank_dif,goals_dif,goals_dif_l5,goals_suf_dif,goals_suf_dif_l5,goals_per_ranking_dif,dif_rank_agst,dif_rank_agst_l5,dif_points_rank,dif_points_rank_l5,is_friendly_0,is_friendly_1
Dominica,Turks and Caicos Islands,0,-18.0,1.0,1.0,-2.0,-2.0,0.004738429923704174,6.0,6.0,0.009804863981543784,0.009804863981543784,1,0
Panama,Costa Rica,0,-1.0,0.8666666666666669,0.8666666666666669,-2.0666666666666664,-2.0666666666666664,0.002130228897843995,29.200000000000003,29.200000000000003,0.016048692737202157,0.016048692737202157,1,0
Trinidad and Tobago,United States,0,91.0,-1.0,-1.0,1.7999999999999998,1.7999999999999998,-0.019196025293586272,9.0,9.0,-0.011783980677780519,-0.011783980677780519,1,0
Djibouti,Guinea-Bissau,1,79.0,-1.0,-1.0,5.0,5.0,-0.011673151750972763,-51.66666666666667,-51.66666666666667,-0.014285714285714285,-0.014285714285714285,1,0
Gambia,Ivory Coast,1,67.0,-1.0,-1.0,2.0,2.0,-0.012175856355719952,17.5,17.5,-0.025941282491983197,-0.025941282491983197,1,0
Seychelles,Kenya,1,89.0,-1.0,-1.0,7.666666666666667,7.666666666666667,-0.009646302250803858,-51.66666666666667,-51.66666666666667,-0.01694915254237288,-0.01694915254237288,1,0
Liberia,Equatorial Guinea,1,57.0,0.08333333333333337,0.08333333333333337,2.1666666666666665,2.1666666666666665,0.002525252525252525,-18.0,-18.0,-0.017348982692952854,-0.017348982692952854,1,0
Mali,Central African Republic,1,-75.0,1.25,1.25,-2.5,-2.5,0.006477732793522265,28.5,28.5,0.030675727174844,0.030675727174844,1,0
Chad,Madagascar,1,73.0,-0.25,-0.25,1.0,1.0,-0.0026136026136026136,-1.5,-1.5,-0.010219688542825362,-0.010219688542825362,1,0
Curaçao,El Salvador,1,13.0,0.75,0.75,-0.25,-0.25,0.011503928170594835,-18.0,-18.0,0.006898395721925134,0.006898395721925134,0,1
North Macedonia,England,1,64.0,-0.3999999999999999,-0.3999999999999999,1.2000000000000002,1.2000000000000002,-0.011883465371837466,8.200000000000003,8.200000000000003,-0.09388888888888888,-0.09388888888888888,1,0
Ukraine,Italy,1,16.0,-0.8500000000000001,-0.8500000000000001,-0.3999999999999999,-0.3999999999999999,-0.010917523934114288,-4.25,-4.25,0.03764189886480908,0.03764189886480908,1,0
Albania,Faroe Islands,1,-64.0,1.6666666666666667,1.6666666666666667,-1.4166666666666667,-1.4166666666666667,0.018726591760299626,24.0,24.0,0.0534810717737547,0.0534810717737547,1,0
Northern Ireland,Denmark,0,45.0,-1.4,-1.4,1.4,1.4,-0.008642975653046262,-29.400000000000006,-29.400000000000006,-0.02939900263670756,-0.02939900263670756,1,0
San Marino,Finland,1,153.0,-0.7999999999999999,-0.7999999999999999,2.0,2.0,-0.009554817841334693,-17.000000000000007,-17.000000000000007,-0.015144230769230771,-0.015144230769230771,1,0
